Parameters	Overlap	Rep1	Rep2	Rep3	percent overlap		bases	on_target_bases	off_target_bases	on_target_mapped	off_target_mapped	not_mapped	Sensitivity	Specificity	F-Score_0.5	On/(on+off)	on/all
length_800.thresh_0.07	24911936	40933138	46901576	37567387	59.5969345043	fresh.macs2.l_0800.t_0.07.bed	24911936	86375464	2598721521	18241138	322272	5405489	0.1743791848	0.735899842	0.4476214948	0.9898572069	0.735899842
length_800.thresh_0.09	26441436	40933138	46901576	49578398	57.726884171	fresh.macs2.l_0800.t_0.09.bed	26441436	86375464	2598721521	19060522	383988	6604893	0.1912697337	0.7143941826	0.461792727	0.98514261	0.7143941826
length_800.thresh_0.1	26441436	40933138	46901576	49578398	57.726884171	fresh.macs2.l_0800.t_0.1.bed	26441436	86375464	2598721521	19060522	383988	7121163	0.1974454459	0.7054401327	0.4657701309	0.9833794498	0.7054401327
length_800.thresh_0.5	37373394	84934842	104009932	74492489	42.5604869726	fresh.macs2.l_0800.t_0.5.bed	37373394	86375464	2598721521	23774714	862046	8179511	0.210271484	0.6894855888	0.4736111826	0.9801736383	0.6894855888
																	
length_1000.thresh_0.001	20467572	27972782	31248799	30015336	68.8086478828	fresh.macs2.l_1000.t_0.001.bed	20467572	86375464	2598721521	15062083	154337	9637747	0.2236676494	0.6671720457	0.4777203512	0.9772284995	0.6671720457
length_1000.thresh_0.005	23125905	32304677	36348059	35143982	66.8399891025	fresh.macs2.l_1000.t_0.005.bed	23125905	86375464	2598721521	16521012	249161	10573284	0.2319879405	0.6545959587	0.4797908029	0.9739771827	0.6545959587
length_1000.thresh_0.01	24175605	38117264	36348059	35143982	66.1684835973	fresh.macs2.l_1000.t_0.01.bed	24175605	86375464	2598721521	17054442	288245	10573284	0.2319879405	0.6545959587	0.4797908029	0.9739771827	0.6545959587
length_1000.thresh_0.02	26341808	38117264	43197116	42425144	63.8643348911	fresh.macs2.l_1000.t_0.02.bed	26341808	86375464	2598721521	18162297	367376	11626608	0.2405607685	0.6412111702	0.4809936187	0.9707604552	0.6412111702
length_1000.thresh_0.03	27793116	46254486	43197116	42425144	63.225208787	fresh.macs2.l_1000.t_0.03.bed	27793116	86375464	2598721521	18794656	419440	19180506	0.2856114672	0.5625915144	0.4711996037	0.9510538384	0.5625915144
length_1000.thresh_0.05	28957144	46254486	53204549	42425144	61.227004034	fresh.macs2.l_1000.t_0.05.bed	28957144	86375464	2598721521	19319397	450183	18800801	0.1864447524	0.4613730854	0.356295578	0.9267835211	0.4613730854
length_1000.thresh_0.07	30611350	46254486	53204549	53484799	60.0442970457	fresh.macs2.l_1000.t_0.07.bed	30611350	86375464	2598721521	20038066	535379	22364137	0.2018431183	0.4380648433	0.3549772149	0.9125000249	0.4380648433
length_1000.thresh_0.09	30611350	46254486	53204549	53484799	60.0442970457	fresh.macs2.l_1000.t_0.09.bed	30611350	86375464	2598721521	20038066	535379	24477401	0.2086170327	0.4240177035	0.351443428	0.9034754844	0.4240177035
length_1000.thresh_0.1	32405156	59072360	53204549	53484799	58.6477233934	fresh.macs2.l_1000.t_0.1.bed	32405156	86375464	2598721521	20778548	625855	26647674	0.2167171571	0.4126162397	0.3494414849	0.8951282265	0.4126162397
length_1000.thresh_0.5	43850329	82912952	101313854	117282243	43.6308586546	fresh.macs2.l_1000.t_0.5.bed	43850329	86375464	2598721521	24669823	1269637	28089235	0.2211445255	0.4047717584	0.3471247843	0.8890810947	0.4047717584
																	
length_2000.thresh_0.001	34905053	50796119	52329461	46630838	69.9236536226	fresh.macs2.l_2000.t_0.001.bed	34905053	86375464	2598721521	16104252	1272246	32397056	0.2334984273	0.3836832159	0.3399521756	0.8703875871	0.3836832159
length_2000.thresh_0.005	39798430	56778854	58181330	58567732	68.8046584966	fresh.macs2.l_2000.t_0.005.bed	39798430	86375464	2598721521	17434293	1671781	32397056	0.2334984273	0.3836832159	0.3399521756	0.8703875871	0.3836832159
length_2000.thresh_0.01	42496794	64156315	65474965	58567732	67.7423226855	fresh.macs2.l_2000.t_0.01.bed	42496794	86375464	2598721521	18019393	1925136	35807374	0.241561342	0.3681685002	0.3332372329	0.8575088819	0.3681685002
length_2000.thresh_0.02	45366719	64156315	74473884	66694097	66.2854614147	fresh.macs2.l_2000.t_0.02.bed	45366719	86375464	2598721521	18719045	2193093	51499048	0.2640087236	0.3069041536	0.2972450381	0.7870141816	0.3069041536
length_2000.thresh_0.03	47190696	73623433	74473884	66694097	65.9114279121	fresh.macs2.l_2000.t_0.03.bed	47190696	86375464	2598721521	19101461	2383037	28089235	0.2211445255	0.4047717584	0.3471247843	0.8890810947	0.4047717584
length_2000.thresh_0.05	50501859	73623433	86312550	77285597	63.8666924822	fresh.macs2.l_2000.t_0.05.bed	50501859	86375464	2598721521	19754613	2740414	30747246	0.2287063025	0.3911660559	0.3425066639	0.8781768966	0.3911660559
length_2000.thresh_0.07	52565591	86254433	86312550	77285597	63.1159274001	fresh.macs2.l_2000.t_0.07.bed	52565591	86375464	2598721521	20168535	3003366	32397056	0.2334984273	0.3836832159	0.3399521756	0.8703875871	0.3836832159
length_2000.thresh_0.09	52565591	86254433	86312550	77285597	63.1159274001	fresh.macs2.l_2000.t_0.09.bed	52565591	86375464	2598721521	20168535	3003366	32397056	0.2334984273	0.3836832159	0.3399521756	0.8703875871	0.3836832159
length_2000.thresh_0.1	56672347	86254433	102449048	92343888	60.4940873864	fresh.macs2.l_2000.t_0.1.bed	56672347	86375464	2598721521	20864973	3467105	35807374	0.241561342	0.3681685002	0.3332372329	0.8575088819	0.3681685002
length_2000.thresh_0.5	74302924	132206626	163495383	154085319	49.5587043306	fresh.macs2.l_2000.t_0.5.bed	74302924	86375464	2598721521	22803876	6171302	51499048	0.2640087236	0.3069041536	0.2972450381	0.7870141816	0.3069041536
